Date,MMM,ABT,ABBV,ABMD,ACN
2005-12-09,52.4648323059082,12.980912208557127,,9.31999969482422,21.320032119750977
2005-12-12,51.95947647094727,13.04083251953125,,9.239999771118164,21.433231353759766
2005-12-13,51.85162353515625,13.14072036743164,,9.199999809265137,21.350215911865234
2005-12-14,52.255943298339844,13.14072036743164,,8.920000076293945,21.80303382873535
2005-12-15,52.21552658081055,13.06747341156006,,9.1899995803833,21.56153106689453
2005-12-16,51.94598770141602,13.37376594543457,,9.0600004196167,21.576629638671875
2005-12-19,52.26942825317383,13.460328102111815,,8.869999885559082,21.28229522705078
2005-12-20,52.175086975097656,13.317173957824707,,8.90999984741211,21.56153106689453
2005-12-21,52.592857360839844,13.440353393554688,,9.170000076293944,21.682279586791992
2005-12-22,52.990440368652344,13.56353759765625,,9.380000114440918,21.629453659057614
2005-12-23,52.96345901489258,13.603486061096193,,9.390000343322754,21.84076690673828
2005-12-27,52.14139938354492,13.450338363647461,,9.43000030517578,21.77284812927246
2005-12-28,52.693931579589844,13.433694839477539,,9.510000228881836,21.795486450195312
2005-12-29,52.754600524902344,13.250582695007324,,9.479999542236328,21.742652893066406
2005-12-30,52.22225570678711,13.127395629882812,,9.239999771118164,21.78793716430664
2006-01-03,53.3071174621582,13.167346954345705,,9.350000381469727,22.112451553344727
2006-01-04,53.03760147094727,13.187329292297365,,9.619999885559082,22.23320770263672
2006-01-05,52.552406311035156,13.3571195602417,,9.550000190734863,22.39923858642578
2006-01-06,52.98369979858398,13.61347770690918,,9.75,23.508634567260746
2006-01-09,53.24646377563477,14.11953067779541,,10.149999618530273,23.440711975097656
2006-01-10,52.91630554199219,13.983028411865234,,10.210000038146973,22.935068130493164
2006-01-11,52.80849075317383,13.884163856506348,,10.550000190734863,23.123741149902344
2006-01-12,52.35700988769531,13.854007720947266,,10.710000038146973,23.08600807189941
2006-01-13,52.22225570678711,13.803740501403807,,10.270000457763672,22.79922294616699
2006-01-17,51.94598770141602,13.763522148132324,,9.899999618530273,23.27467918395996
2006-01-18,52.006614685058594,13.813794136047365,,10.359999656677246,23.387887954711914
2006-01-19,51.82469940185547,13.921028137207033,,10.300000190734863,23.46335601806641
2006-01-20,50.69939041137695,13.522234916687012,,10.15999984741211,23.538827896118164
2006-01-23,51.00936508178711,13.575855255126953,,10.289999961853027,23.1916618347168
2006-01-24,49.99860763549805,13.42504596710205,,10.649999618530273,23.08600807189941
2006-01-25,49.19000244140625,14.132163047790527,,10.59000015258789,23.37279319763184
2006-01-26,48.98785018920898,14.517557144165039,,10.899999618530273,23.561466217041016
2006-01-27,48.95414733886719,14.410306930541992,,10.859999656677246,23.71994781494141
2006-01-30,48.95414733886719,14.39020538330078,,10.949999809265137,23.71994781494141
2006-01-31,49.02153015136719,14.46058177947998,,10.949999809265137,23.795413970947266
2006-02-01,49.3180160522461,14.443822860717773,,11.15999984741211,23.93881225585937
2006-02-02,48.617225646972656,14.215938568115234,,11.199999809265137,23.89352989196777
2006-02-03,47.909706115722656,14.239398956298828,,10.970000267028807,23.75013542175293
2006-02-06,47.95687866210938,14.215938568115234,,10.869999885559082,24.142578125
2006-02-07,47.6064682006836,14.112051010131836,,10.34000015258789,24.36897850036621
2006-02-08,47.84231948852539,14.095296859741213,,10.350000381469727,24.4821834564209
2006-02-09,48.597023010253906,14.125449180603027,,10.130000114440918,23.95390510559082
2006-02-10,48.92720413208008,14.23270320892334,,9.81999969482422,24.12748146057129
2006-02-13,49.12935256958008,14.353341102600098,,9.920000076293944,24.285966873168945
2006-02-14,49.66166305541992,14.654951095581055,,10.0600004196167,24.067102432250977
2006-02-15,49.27759170532226,14.795705795288086,,10.510000228881836,24.42180824279785
2006-02-16,49.22368240356445,14.866080284118652,,10.880000114440918,24.776525497436523
2006-02-17,49.70886611938477,14.859383583068848,,11.140000343322754,24.678409576416016
2006-02-21,49.32475280761719,14.742088317871096,,10.529999732971193,24.406719207763672
2006-02-22,49.487510681152344,14.71192741394043,,10.6899995803833,24.4821834564209
2006-02-23,49.94183349609375,14.554418563842773,,10.6899995803833,24.44445037841797
2006-02-24,50.118125915527344,14.728683471679688,,10.68000030517578,24.45199775695801
2006-02-27,49.96896362304688,14.896245002746582,,10.84000015258789,24.85953140258789
2006-02-28,49.90115737915039,14.805764198303224,,10.399999618530273,24.64821815490723
2006-03-01,49.95538711547852,14.745436668395994,,10.899999618530273,24.625577926635746
2006-03-02,49.53497695922852,14.557767868041992,,10.720000267028807,24.60293960571289
2006-03-03,49.41970443725586,14.67170524597168,,10.630000114440918,24.54255676269531
2006-03-06,48.7890739440918,14.63819408416748,,10.649999618530273,24.42936134338379
2006-03-07,49.00605773925781,14.587926864624025,,10.510000228881836,24.05956268310547
2006-03-08,49.08064270019531,14.571171760559082,,10.75,23.795413970947266
2006-03-09,48.687355041503906,14.473986625671387,,10.510000228881836,23.71994781494141
2006-03-10,49.03996658325195,14.718626976013185,,10.59000015258789,23.818058013916016
2006-03-13,48.88399887084961,15.057099342346193,,10.5,23.81051445007324
2006-03-14,49.8604621887207,15.134176254272461,,10.720000267028807,23.90107345581055
2006-03-15,50.179176330566406,15.164344787597654,,10.920000076293944,24.067102432250977
2006-03-16,50.78266143798828,15.080564498901367,,11.010000228881836,24.02937316894531
2006-03-17,50.7148666381836,15.140881538391113,,11.4399995803833,23.78032493591309
2006-03-20,50.85725784301758,14.82921314239502,,12.109999656677244,23.727495193481445
2006-03-21,50.80980682373047,14.725330352783205,,11.729999542236328,24.08974647521973
2006-03-22,51.58282470703125,14.778947830200195,,11.920000076293945,24.414264678955078
2006-03-23,52.0574836730957,14.705223083496096,,12.800000190734865,24.2708740234375
2006-03-24,52.07781982421875,14.70186996459961,,13.199999809265135,23.77277565002441
2006-03-27,52.10497283935547,14.564471244812012,,13.130000114440918,23.25958633422852
2006-03-28,51.73878860473633,14.396905899047852,,12.869999885559082,23.319957733154297
2006-03-29,52.59318923950195,14.383505821228027,,12.75,21.96906852722168
2006-03-30,51.88796615600586,14.28966999053955,,12.720000267028807,22.68602180480957
2006-03-31,51.32515335083008,14.23270320892334,,12.899999618530273,22.693567276000977
2006-04-03,51.42686080932617,14.376808166503904,,12.899999618530273,22.572816848754886
2006-04-04,52.21345901489258,14.272919654846193,,13.140000343322756,22.904882431030273
2006-04-05,52.525390625,14.296372413635256,,13.279999732971193,22.414331436157227
2006-04-06,55.18354797363281,14.366751670837402,,13.739999771118164,22.18792724609375
2006-04-07,54.94616317749024,14.10534954071045,,13.640000343322756,21.90869140625
2006-04-10,54.91228485107422,14.135512351989744,,13.5,21.893600463867188
2006-04-11,54.783424377441406,13.98870849609375,,13.15999984741211,21.697378158569336
2006-04-12,54.99367141723633,14.052826881408693,,13.09000015258789,22.180376052856445
2006-04-13,54.90550231933594,14.005578994750975,,13.399999618530273,22.25584602355957
2006-04-17,54.424049377441406,13.880715370178224,,13.170000076293945,22.39923858642578
2006-04-18,55.325927734375,14.066327095031738,,13.899999618530273,23.07846260070801
2006-04-19,55.522544860839844,13.951580047607422,,13.640000343322756,22.79167938232422
2006-04-20,56.01079940795898,14.143949508666992,,13.960000038146973,22.761484146118164
2006-04-21,57.67892456054688,14.174324035644533,,13.890000343322756,22.648290634155273
2006-04-24,57.950172424316406,13.884087562561035,,13.489999771118164,22.421878814697266
2006-04-25,57.50938415527344,13.904338836669922,,13.270000457763672,22.376596450805664
2006-04-26,57.99086380004883,13.873960494995115,,13.199999809265135,22.3388671875
2006-04-27,57.79420471191406,14.18444538116455,,12.90999984741211,22.40678596496582
2006-04-28,57.92980575561523,14.424064636230467,,12.93000030517578,21.938879013061523
2006-05-01,57.61788940429688,14.28231430053711,,12.989999771118164,22.24074935913086
2006-05-02,57.29918670654297,14.22493839263916,,13.1899995803833,22.22566032409668
2006-05-03,58.24851989746094,14.258694648742676,,12.789999961853027,22.157737731933594
2006-05-04,58.63502883911133,14.35318660736084,,13.15999984741211,22.150192260742188
2006-05-05,59.19787216186523,14.434185028076172,,13.460000038146973,22.22566032409668
2006-05-08,59.76067352294922,14.33293628692627,,13.729999542236328,22.263397216796875
2006-05-09,59.3877182006836,14.258694648742676,,12.93000030517578,22.195466995239254
2006-05-10,59.43519973754883,14.103452682495115,,13.130000114440918,22.263397216796875
2006-05-11,59.10968780517578,14.181071281433105,,12.619999885559082,22.35395812988281
2006-05-12,58.70283889770508,13.978582382202148,,12.279999732971193,22.014347076416016
2006-05-15,59.07579803466797,14.275569915771484,,12.0600004196167,21.7803897857666
2006-05-16,58.83167266845703,14.397062301635742,,11.81999969482422,21.8634090423584
2006-05-17,57.55007553100586,14.116951942443848,,11.710000038146973,21.629453659057614
2006-05-18,57.36601638793945,14.16082763671875,,11.68000030517578,20.935136795043945
2006-05-19,57.475074768066406,14.113571166992188,,12.0,20.889854431152344
